gene	transcript_biotype	SVTYPE	SVLEN	category	sv	cell_line	sample	location
APRG1	lncRNA	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
APRG1	lncRNA	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
KCTD6	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
KCTD6	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
ANO10	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
ANO10	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
LINC02377	lncRNA	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
LINC02377	lncRNA	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
LINC00498	lncRNA	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
LINC00498	lncRNA	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
SLC7A11-AS1	lncRNA	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
SLC7A11-AS1	lncRNA	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
PABPC4L	protein_coding	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
PABPC4L	protein_coding	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
VSIG1	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
VSIG1	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
OXSR1	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
OXSR1	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
INTU	protein_coding	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
INTU	protein_coding	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
RAPGEF3	protein_coding	INVt2t	7297656	Inversion	INVt2t:chr12:41084043-48381699	HEK293T	F3R_c5	Within variant
LINC01256	lncRNA	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
LINC01256	lncRNA	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
TNMD	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
TNMD	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
TNMD	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
TNMD	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
C3orf18	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
C3orf18	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
C4orf33	protein_coding	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
C4orf33	protein_coding	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
LINC01201	lncRNA	INVh2h	6586627	Inversion	INVh2h:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
LINC01201	lncRNA	INVt2t	6586627	Inversion	INVt2t:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
ARHGAP36	protein_coding	INVh2h	6586627	Inversion	INVh2h:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
ARHGAP36	protein_coding	INVt2t	6586627	Inversion	INVt2t:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
TUSC2	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
TUSC2	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
LINC02030	lncRNA	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
LINC02030	lncRNA	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
LINC02466	lncRNA	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
LINC02466	lncRNA	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
PTPRG	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
PTPRG	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
NXF2	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
NXF2	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
NXF2	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
NXF2	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
SCLT1	protein_coding	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
SCLT1	protein_coding	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
TMSB15A	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
TMSB15A	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
TMSB15A	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
TMSB15A	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
LINC02019	lncRNA	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
LINC02019	lncRNA	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
ZMYND10-AS1	lncRNA	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
ZMYND10-AS1	lncRNA	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
RASSF1-AS1	lncRNA	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
RASSF1-AS1	lncRNA	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
SMARCC1	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
SMARCC1	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
LINC02040	lncRNA	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
LINC02040	lncRNA	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
RNU2-54P	snRNA	INVh2h	1835034	Inversion	INVh2h:chr8:76108907-77943941	HAP1	C516R_G1_D21	Within variant
RNU2-54P	snRNA	INVt2t	1835017	Inversion	INVt2t:chr8:76108907-77943924	HAP1	C516R_G1_D21	Within variant
MIR3149	miRNA	INVh2h	1835034	Inversion	INVh2h:chr8:76108907-77943941	HAP1	C516R_G1_D21	Within variant
MIR3149	miRNA	INVt2t	1835017	Inversion	INVt2t:chr8:76108907-77943924	HAP1	C516R_G1_D21	Within variant
MIR1208	miRNA	DEL	575347	Deletion	DEL:chr8:127771721-128347085	HEK293T	F3R_c5t8	Within variant
WASF1	protein_coding	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
WASF1	protein_coding	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
HYAL2	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
HYAL2	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
SPATA12	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
SPATA12	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
PRICKLE2-AS3	lncRNA	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
PRICKLE2-AS3	lncRNA	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
ABHD5	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
ABHD5	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
SFMBT1	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
SFMBT1	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
PCDH10	protein_coding	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
PCDH10	protein_coding	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
MAPKAPK3	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
MAPKAPK3	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
RNF150	protein_coding	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
RNF150	protein_coding	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
MIR1205	miRNA	DEL	575347	Deletion	DEL:chr8:127771721-128347085	HEK293T	F3R_c5t8	Within variant
RNVU1-32	snRNA	DEL	575347	Deletion	DEL:chr8:127771721-128347085	HEK293T	F3R_c5t8	Within variant
MIR1206	miRNA	DEL	575347	Deletion	DEL:chr8:127771721-128347085	HEK293T	F3R_c5t8	Within variant
RNU4-25P	snRNA	DEL	575347	Deletion	DEL:chr8:127771721-128347085	HEK293T	F3R_c5t8	Within variant
MIR1207	miRNA	DEL	575347	Deletion	DEL:chr8:127771721-128347085	HEK293T	F3R_c5t8	Within variant
LINC02912	lncRNA	DEL	575347	Deletion	DEL:chr8:127771721-128347085	HEK293T	F3R_c5t8	Within variant
ZNF330	protein_coding	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
ZNF330	protein_coding	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
CFAP20DC-DT	lncRNA	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
CFAP20DC-DT	lncRNA	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
DOCK3	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
DOCK3	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
SOBP	protein_coding	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
SOBP	protein_coding	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
HS1BP3-IT1	lncRNA	DEL	3196560	Deletion	DEL:chr2:18014602-21211162	HAP1	C516R_G1_C31	Within variant
LINC02510	lncRNA	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
LINC02510	lncRNA	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
WDR35-DT	lncRNA	DEL	3196560	Deletion	DEL:chr2:18014602-21211162	HAP1	C516R_G1_C31	Within variant
LINC00616	lncRNA	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
LINC00616	lncRNA	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
LINC00954	lncRNA	DEL	3196560	Deletion	DEL:chr2:18014602-21211162	HAP1	C516R_G1_C31	Within variant
CADPS	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
CADPS	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
SLC9A6	protein_coding	INVh2h	6586627	Inversion	INVh2h:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
SLC9A6	protein_coding	INVt2t	6586627	Inversion	INVt2t:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
LINC02850	lncRNA	DEL	3196560	Deletion	DEL:chr2:18014602-21211162	HAP1	C516R_G1_C31	Within variant
C10orf67-AS1	lncRNA	DEL	1720824	Deletion	DEL:chr10:22126500-23847324	HAP1	C516R_c8	Within variant
OSR1	protein_coding	DEL	3196560	Deletion	DEL:chr2:18014602-21211162	HAP1	C516R_G1_C31	Within variant
TTC32	protein_coding	DEL	3196560	Deletion	DEL:chr2:18014602-21211162	HAP1	C516R_G1_C31	Within variant
RNU6-413P	snRNA	DEL	1720824	Deletion	DEL:chr10:22126500-23847324	HAP1	C516R_c8	Within variant
TUBE1	protein_coding	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
TUBE1	protein_coding	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
MIR4329	miRNA	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
MIR4329	miRNA	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
STK26	protein_coding	INVh2h	6586627	Inversion	INVh2h:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
STK26	protein_coding	INVt2t	6586627	Inversion	INVt2t:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
AFG1L	protein_coding	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
AFG1L	protein_coding	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
FAM3D-AS1	lncRNA	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
FAM3D-AS1	lncRNA	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
FAM107A	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
FAM107A	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
LINC02511	lncRNA	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
LINC02511	lncRNA	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
RAP2C	protein_coding	INVh2h	6586627	Inversion	INVh2h:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
RAP2C	protein_coding	INVt2t	6586627	Inversion	INVt2t:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
PLP1	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
PLP1	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
PLP1	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
PLP1	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
ANKRD50	protein_coding	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
ANKRD50	protein_coding	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
LINC02276	lncRNA	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
LINC02276	lncRNA	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
USP38-DT	lncRNA	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
ADAMTS9-AS1	lncRNA	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
ADAMTS9-AS1	lncRNA	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
JADE1	protein_coding	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
JADE1	protein_coding	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
LDAH	protein_coding	DEL	3196560	Deletion	DEL:chr2:18014602-21211162	HAP1	C516R_G1_C31	Within variant
NONO	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
NONO	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
MATN3	protein_coding	DEL	3196560	Deletion	DEL:chr2:18014602-21211162	HAP1	C516R_G1_C31	Within variant
HS1BP3	protein_coding	DEL	3196560	Deletion	DEL:chr2:18014602-21211162	HAP1	C516R_G1_C31	Within variant
RNU6-1299P	snRNA	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
RNU6-1299P	snRNA	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
RNU6-1106P	snRNA	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
RNU6-1106P	snRNA	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
RNU6-344P	snRNA	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
RNU6-344P	snRNA	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
RNU6-957P	snRNA	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
RNU6-957P	snRNA	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
RNU6-1163P	snRNA	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
RNU6-1163P	snRNA	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
RNU6-897P	snRNA	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
RNU6-897P	snRNA	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
RNU6-1226P	snRNA	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
RNU6-1226P	snRNA	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
RNU6-475P	snRNA	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
RNU6-475P	snRNA	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
JADRR	lncRNA	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
JADRR	lncRNA	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
LINC02462	lncRNA	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
LINC02462	lncRNA	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
GDF7	protein_coding	DEL	3196560	Deletion	DEL:chr2:18014602-21211162	HAP1	C516R_G1_C31	Within variant
SNHG27	lncRNA	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
SNHG27	lncRNA	INVt2t	36093528	Inversion	INVt2t:chr4:106900927-142994455	HAP1	C516R_G1_A31	Within variant
SMARCA5	protein_coding	INVh2h	36775038	Inversion	INVh2h:chr4:106900927-143675965	HAP1	C516R_G1_A31	Within variant
ZMYND10	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
ZMYND10	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
FEZF2	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
FEZF2	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
ASB14	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
ASB14	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
CFAP20DC-AS1	lncRNA	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
CFAP20DC-AS1	lncRNA	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
GCSAM	protein_coding	INVt2t	36615098	Inversion	INVt2t:chr3:110120544-146735642	HAP1	C516R_G1_D61	Within variant
SLC22A16	protein_coding	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
SLC22A16	protein_coding	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
DDO	protein_coding	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
DDO	protein_coding	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
ZCCHC18	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
ZCCHC18	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
ZCCHC18	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
ZCCHC18	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
TMEM158	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
TMEM158	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
CD200	protein_coding	INVt2t	36615098	Inversion	INVt2t:chr3:110120544-146735642	HAP1	C516R_G1_D61	Within variant
PJA1	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
PJA1	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
TAF7L	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
TAF7L	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
TAF7L	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
TAF7L	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
INTS6L	protein_coding	INVh2h	6586627	Inversion	INVh2h:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
INTS6L	protein_coding	INVt2t	6586627	Inversion	INVt2t:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
TMEM39A	protein_coding	INVt2t	36615098	Inversion	INVt2t:chr3:110120544-146735642	HAP1	C516R_G1_D61	Within variant
HESX1	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
HESX1	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
PRICKLE2-AS1	lncRNA	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
PRICKLE2-AS1	lncRNA	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
TIMMDC1	protein_coding	INVt2t	36615098	Inversion	INVt2t:chr3:110120544-146735642	HAP1	C516R_G1_D61	Within variant
IP6K1	protein_coding	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
IP6K1	protein_coding	INVt2t	35699956	Inversion	INVt2t:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
MID2	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
MID2	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
TEX11	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
TEX11	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
LINC00698	lncRNA	INVh2h	35699956	Inversion	INVh2h:chr3:29997342-65697298	HAP1	C516R_G1_D22	Within variant
